 grade     HW  exam1  exam2  final
     B   97.67     76     92     69
     B   98.31     82     80     69
     B  101.14     77     71     69
     B  110.38     76     75     69
     C   76.62     83     55     68
    C-   91.62     55     57     68
     B   99.40     79     86     68
     C   73.60     80     66     67
    C+   83.28     82     70     67
     C   92.83     68     67     67
    C+   95.80     76     70     67
    C+   97.66     75     75     67
    C+   99.64     85     57     67
     C  102.75     65     61     67
     C   55.84     80     72     66
     D   75.69     51     65     66
    C-   81.17     56     63     66
    C+   83.35     76     86     66
     C   88.97     66     57     66
    C+   90.17     81     77     66
    B-   95.64     83     76     66
    C+   99.80     75     73     66
     C  104.50     73     62     66
     C  106.84     66     62     66
     B  111.46     73     83     66
     D   24.40     75     58     65
     C   83.70     73     74     65
     C   88.14     69     74     65
    C-   91.00     58     63     65
     C   91.91     72     62     65
    C+   95.15     79     76     65
    C+   96.28     81     68     65
     C   99.08     71     54     65
    C+  100.88     66     74     65
     C   79.93     72     71     64
    C+   85.00     78     87     64
    C+   86.61     82     79     64
     C   90.47     65     61     64
    C+   97.83     81     70     64
    B-  115.01     71     81     64
    C-   94.09     55     63     63
     C   95.05     67     56     63
    B-   97.11     88     80     63
     C   98.66     66     61     63
     C   68.72     77     74     62
    C-   97.18     59     62     62
    D+   62.52     73     63     61
     C   88.27     82     64     61
     C   93.66     76     59     61
     C  109.16     75     59     61
     D   72.56     49     68     60
     D   86.19     57     57     60
     C   96.06     63     79     60
    C-   78.07     65     75     59
    C-   87.93     75     68     59
    B-   97.18     82     85     59
     C   98.40     69     72     59
    C-  101.36     65     59     59
    C-   58.02     77     83     58
     D   61.07     63     77     58
    C-   84.49     70     75     58
     D   88.51     55     51     58
    B-  106.78     80     76     58
     D   78.75     72     49     57
    C-   89.24     69     72     57
    C-   91.28     80     53     57
     D   73.80     62     61     56
     D   73.92     48     53     56
     D   77.48     43     62     56
     D   89.11     57     73     56
    C-   94.62     70     69     56
    C-   94.15     58     72     55
    C-   93.33     60     71     54
     D   95.99     62     62     54
     D   35.62     58     65     53
     D   36.29     72     68     53
     D   75.18     70     63     53
     D   83.59     61     65     53
     D   86.31     72     59     53
     D   94.81     67     60     52
     D   91.26     49     73     51
    C-   94.08     79     68     51
     D   88.79     45     54     50
     D   79.95     60     68     49
     D   87.20     65     77     48
     D   64.36     70     72     47
     D   72.89     74     68     46
     D   77.13     65     74     46
    D-   90.45     55     53     45
    D-   38.28     61     67     44
    D-   80.53     51     55     44
    D-   50.34     59     46     43
    D-   68.04     58     71     43
    D-   70.71     49     39     42
    D-   82.99     60     54     42
    D-   75.65     60     54     40
    D-   80.37     58     50     40
     F   33.58     58     18     30
     F   18.60     39     61     28
     F   13.20     42     27      0
     F   41.32     45     53      0
